iter	PRAUC	Logloss
346	0.7999625182	0.4326833982
347	0.8001300595	0.432405343
348	0.8006140994	0.4321369341
349	0.8007203119	0.4320037963
350	0.8011590844	0.4318327721
351	0.8014801159	0.4316702315
352	0.8019997835	0.4314166127
353	0.8026048413	0.4308846268
354	0.8031832078	0.4305965861
355	0.8035970217	0.4302905246
356	0.8045145059	0.4300111336
357	0.8046987001	0.4297911412
358	0.8048270818	0.4295971009
359	0.8054879325	0.4291890391
360	0.8057482583	0.4288872101
361	0.8066412383	0.4283044421
362	0.8074314921	0.4279336322
363	0.8080098448	0.4276262321
364	0.8084813819	0.4273379935
365	0.8085936224	0.427219079
366	0.8087240753	0.4271227018
367	0.8090562932	0.4269400018
368	0.8094310946	0.4266956513
369	0.8097623095	0.4262734255
370	0.8107254742	0.4257793185
371	0.810971521	0.4255395492
372	0.8112741055	0.4253471937
373	0.8118155104	0.4251008928
374	0.8126006461	0.4245989808
375	0.8132166702	0.4241691429
376	0.813651341	0.4238380709
377	0.8141782044	0.4235251486
378	0.8142649174	0.423376223
379	0.81487885	0.4232071871
380	0.8153072262	0.4229298951
381	0.8154801025	0.4226898968
382	0.8160504781	0.4224171382
383	0.8163933723	0.4222484942
384	0.8166571958	0.4220313059
385	0.8169092211	0.4218417099
386	0.8173519688	0.4216826956
387	0.8179119594	0.4213136983
388	0.8185323765	0.4209588778
389	0.8186495361	0.4208667325
390	0.8188023227	0.4207040674
391	0.8191927087	0.4204127953
392	0.819903867	0.4200011156
393	0.8199924239	0.419746662
394	0.8205269798	0.4194048658
395	0.8212269673	0.41893357
396	0.8215882326	0.4186220962
397	0.8216813464	0.4184331318
398	0.8219613768	0.4182888521
399	0.8222422416	0.417937438
400	0.8223069147	0.4176838649
401	0.8230857583	0.4172573731
402	0.8234839329	0.417030236
403	0.8239354945	0.4166608608
404	0.8241643763	0.4164942527
405	0.8248602304	0.4161368678
406	0.8251525516	0.4159416375
407	0.8256964343	0.4156391497
408	0.8261762267	0.415284418
409	0.8264978324	0.415064107
410	0.8271056465	0.4146643751
411	0.8274419244	0.414342186
412	0.8277676043	0.4140737462
413	0.8288076682	0.4137207754
414	0.8287868455	0.4136344237
415	0.8288651607	0.4135249903
416	0.8294597636	0.4131177177
417	0.8297445219	0.4128738392
418	0.8300163993	0.4126136572
419	0.8301503738	0.4123157073
420	0.830442839	0.4121513011
421	0.8308803678	0.4118100235
422	0.8309600314	0.4116014972
423	0.831134547	0.4114013969
424	0.8315897461	0.4111498747
425	0.8315908365	0.4111004583
426	0.8319222846	0.4108827013
427	0.8323951166	0.4107316579
428	0.8326847122	0.4104924451
429	0.8329713489	0.4102612109
430	0.8334711834	0.4100368204
431	0.8339776589	0.4096916767
432	0.8341548197	0.409529924
433	0.8342953333	0.4094011968
434	0.8346666585	0.4091737424
435	0.8348174538	0.4090587734
436	0.8355896575	0.4086428494
437	0.8358437948	0.4084206371
438	0.836049748	0.4082593281
439	0.8365584348	0.4078302085
440	0.8365940482	0.4077535195
441	0.8370255234	0.4074013009
442	0.837104489	0.4071921756
443	0.8376141164	0.4067999206
444	0.8381048247	0.4065898869
445	0.8382044052	0.4064189143
446	0.8384351438	0.4061400174
447	0.8390490482	0.4058017488
448	0.8395697445	0.4054327464
449	0.8399753208	0.4051528346
450	0.8404057226	0.4048296157
451	0.8408341629	0.404511905
452	0.841222524	0.4043117682
453	0.8414445901	0.4042451612
454	0.8416162384	0.4041392465
455	0.8418468158	0.4038913303
456	0.8423101021	0.4035826629
457	0.842600831	0.4033391863
458	0.8426787281	0.4032172958
459	0.8433128455	0.402856583
460	0.8436610314	0.4026047796
461	0.8438016627	0.4023284571
462	0.8443744507	0.4020161906
463	0.8451825202	0.4016765628
464	0.8455838208	0.4014284909
465	0.8455855552	0.4011343576
466	0.8459928521	0.4008218265
467	0.8460721331	0.4007143588
468	0.8462677362	0.4004786863
469	0.8462673302	0.4004115909
470	0.8465941549	0.4002450595
471	0.8468393189	0.4000777856
472	0.8475331459	0.399641555
473	0.8478629753	0.3993404997
474	0.8482229589	0.3990483979
475	0.8483622444	0.3988810255
476	0.8489498163	0.3985295225
477	0.8492250914	0.3982048986
478	0.8497327521	0.3979143663
479	0.8503780288	0.3975726818
480	0.8507698289	0.39721757
481	0.8511101266	0.3970302892
482	0.8516696118	0.3967421797
483	0.8521834818	0.3964281948
484	0.8523073355	0.3962617609
485	0.8526703169	0.3959267501
486	0.8528371662	0.3957061912
487	0.8531825993	0.3954677635
488	0.8534463806	0.3952355601
489	0.8536795799	0.395013536
490	0.8537670076	0.3949171247
491	0.8541360364	0.39460256
492	0.8544444716	0.3943196067
493	0.8544761561	0.3942691903
494	0.8545935949	0.3941707825
495	0.8548839617	0.3939273499
496	0.8553528476	0.3935350941
497	0.8554677272	0.3934604961
498	0.8556319136	0.3932319253
499	0.8558115365	0.3930728884
