year,serial,pernum,winning_model_p,winning_model_high_recall
2013,829632,2,0.3736439650463403,1
2012,108065,1,0.43674731545085804,1
2010,835887,2,0.2721773186128335,1
2013,1312344,2,0.12298330830096957,0
2012,315856,1,0.14862958323881106,0
2015,650060,2,0.11569685207430493,0
2012,740527,1,0.17296402330231783,0
2012,92846,2,0.11836609819051438,0
2009,282958,1,0.28668506413459827,1
2011,806042,1,0.16916036066112572,0
2018,194287,1,0.1534264946930491,0
2014,1163290,1,0.17472023788472277,0
2017,1299908,2,0.15429576945209525,0
2009,1252579,2,0.17939455241083432,0
2011,282717,1,0.2458513015679884,0
2019,655039,1,0.13310181119795592,0
2013,277411,1,0.12673714330384223,0
2017,117118,2,0.1650669372323795,0
2015,1321935,2,0.15530470037121097,0
2017,773460,1,0.20777853414871883,0
2014,1072287,1,0.15869439955481157,0
2015,269881,1,0.21294358617208198,0
2015,1251137,2,0.12440034392539141,0
2013,815346,1,0.3233469911498611,1
2019,816559,1,0.2831298197728068,1
2011,360433,2,0.18188719629926936,0
2010,1190462,1,0.11752546593705285,0
2017,852433,1,0.15668629178156224,0
2014,1205492,2,0.19313580331772048,0
2012,315133,2,0.2466403741200057,0
2010,1077321,6,0.24453465291082627,0
2017,845991,1,0.297022594590303,1
2012,631353,1,0.38970744436610505,1
2016,110897,1,0.26180223460235397,1
2017,785132,2,0.16397473598856802,0
2011,205060,1,0.12307787776130696,0
2019,496911,1,0.4239859948095735,1
2017,103374,1,0.14132035784760488,0
2017,990564,1,0.14294377202856107,0
2010,384381,1,0.1648428250498067,0
2016,159394,1,0.12882203797274663,0
2019,889020,1,0.15608095775523045,0
2018,188781,1,0.198988709309244,0
2009,292486,2,0.1553933720899648,0
2012,1181023,2,0.3841893051314927,1
2010,106135,1,0.12278097484115966,0
2011,71988,1,0.17759747423136363,0
2019,1275804,1,0.2517012141956103,0
2009,182843,2,0.2439580110535982,0
2013,875253,1,0.2615621113516809,1
2012,305212,2,0.12661753959209465,0
2016,960679,1,0.22502721903927456,0
2019,375562,2,0.1068629621310578,0
2018,619082,2,0.17358964518941705,0
2009,1179750,1,0.27096050851996717,1
2017,943450,2,0.20609333320716086,0
2009,159617,1,0.18415492947235815,0
2019,153195,2,0.15285071351288626,0
2013,23498,2,0.19207513285908823,0
2017,72658,2,0.1747193817390884,0
2018,611533,2,0.1745199658017714,0
2019,1245700,1,0.2223293138530221,0
2016,131529,2,0.20896659868937084,0
2012,747895,2,0.16199046736449005,0
2016,72676,2,0.2579105955734792,0
2015,81024,1,0.1297571598398384,0
2017,1043257,1,0.1403554097574009,0
2016,324888,1,0.16998204860753716,0
2016,41814,1,0.1834488942296516,0
2018,662546,1,0.2162916428193636,0
2019,919156,2,0.22098613898079614,0
2013,355625,2,0.17837083823318678,0
2014,803085,2,0.15323168065281523,0
2013,197972,2,0.2137503163438619,0
2016,1341130,1,0.1990755164026117,0
2018,208098,1,0.15077826739676017,0
2013,976964,2,0.1296605627743058,0
2016,92036,2,0.28548167401887525,1
2011,80085,2,0.15109590286649419,0
2009,598832,1,0.18914122333691957,0
2018,144894,2,0.23509146081806565,0
2019,806080,1,0.16047551549341663,0
2014,1215381,2,0.12125520720815584,0
2017,873513,1,0.3169071478925456,1
2011,1308873,1,0.1251497171368918,0
2019,394224,1,0.22370843097701879,0
2012,67068,2,0.17098015423351212,0
2016,1217598,1,0.21549447799626886,0
2009,792460,5,0.3345305391484697,1
2016,869820,1,0.3197566814123295,1
2013,890289,2,0.11459638096048615,0
2019,888338,1,0.2981059543577221,1
2019,468834,1,0.14247511943200708,0
2009,291059,1,0.17768353567871517,0
2013,53494,1,0.2001793748193917,0
2016,325743,2,0.1575714596735043,0
2018,222336,2,0.1461068836018067,0
2012,306310,1,0.4180873747236331,1
2014,184930,1,0.1484349986135568,0
2018,1344636,1,0.22168186184581115,0
2009,1176473,2,0.24613165654090002,0
